Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
1440000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1450000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1460000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1470000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1480000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1490000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1500000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1510000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1520000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1530000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1540000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1550000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1560000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1570000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1580000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1590000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1600000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1610000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1620000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1630000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1640000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1650000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1660000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1670000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1680000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1690000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
1700000,0,0.597765677,0.023016898,0.140066244,0.096053444,0.237803851,0.043395273,0.02245551,0.021613428,0.013361028,0.221242912,0.059675518,0.249087745,0.37214394,0.097849885,21.65049921,3740.325348
