kendallBlockWorkersValid1,kendallBlockWorkersValid2,kendallBlockWorkersValid3
250173703002,1,$60000 - $99999
250173704003,2,$60000 - $99999
250173732004,1,$60000 - $99999
250173735003,1,>$200000
250173737003,2,>$200000
250173737004,1,>$200000
250173738001,1,>$200000
250173739001,2,>$200000
250173739003,1,>$200000
250173740001,2,>$200000
250173741001,1,>$200000
250173741003,1,$60000 - $99999
250173742001,1,>$200000
250173743001,1,>$200000
250173746001,1,>$200000
250173746002,1,>$200000
250173821001,1,$60000 - $99999
250173823002,1,>$200000
250173825003,1,>$200000
250173826024,1,<$30000
250173832001,1,$60000 - $99999
250173834002,1,<$30000
250173835021,1,$60000 - $99999
250173836003,1,<$30000
250173839014,2,$100000 - $124999
250173840021,1,<$30000
250173840023,1,$60000 - $99999
250173851001,1,$60000 - $99999
250173852011,1,<$30000
250173852022,1,>$200000
250173852023,1,>$200000
250173881001,2,>$200000
250214001001,1,<$30000
250214001002,1,$60000 - $99999
250214001004,1,>$200000
250214002002,1,$60000 - $99999
250214003003,1,>$200000
250214004001,1,<$30000
250214005001,1,$150000 - $199999
250214005002,1,$60000 - $99999
250214005003,1,>$200000
250214007003,1,>$200000
250214008002,1,$125000 - $149999
250214009003,2,>$200000
250214010002,1,>$200000
250214010003,1,<$30000
250214012004,2,>$200000
250214024003,1,$150000 - $199999
250214031006,1,>$200000
250214043022,1,>$200000
250214061023,1,>$200000
250214061024,1,>$200000
250214071002,1,$100000 - $124999
250214101001,1,$60000 - $99999
250214104003,1,$150000 - $199999
250214113023,1,<$30000
250214121003,1,$150000 - $199999
250214122002,1,>$200000
250214123004,1,>$200000
250214131004,1,$60000 - $99999
250214134022,1,$60000 - $99999
250214142003,1,>$200000
250214143002,2,$150000 - $199999
250214151021,1,$60000 - $99999
250214151022,1,$30000 - $44999
250214153001,1,>$200000
250214162007,1,$60000 - $99999
250214163003,1,$150000 - $199999
250214171005,1,$60000 - $99999
250214172001,3,$60000 - $99999
250214172002,1,<$30000
250214172005,2,$100000 - $124999
250214173002,1,>$200000
250214175013,1,$60000 - $99999
250214175023,1,$100000 - $124999
250214176012,1,$60000 - $99999
250214178022,1,<$30000
250214179011,1,<$30000
250214179014,1,<$30000
250214179021,1,<$30000
250214180031,4,$60000 - $99999
250214180042,1,$60000 - $99999
250214180043,1,<$30000
250214191001,1,$60000 - $99999
250214191004,1,$60000 - $99999
250214193002,1,$60000 - $99999
250214194001,1,$60000 - $99999
250214195002,1,$150000 - $199999
250214196002,1,$60000 - $99999
250214197001,1,$60000 - $99999
250214198002,2,<$30000
250214201002,1,$60000 - $99999
250214201003,1,$60000 - $99999
250214201004,4,$60000 - $99999
250214202022,1,<$30000
250214203014,1,>$200000
250214211001,1,<$30000
250214211003,1,$60000 - $99999
250214212002,1,$60000 - $99999
250214221001,1,$60000 - $99999
250214221004,1,<$30000
250214222001,1,>$200000
250214222002,1,$100000 - $124999
250214222004,1,$60000 - $99999
250214222006,1,<$30000
250214223023,2,$60000 - $99999
250214223024,1,$60000 - $99999
250214224003,1,$60000 - $99999
250214224005,3,<$30000
250214225022,1,<$30000
250214225024,1,<$30000
250214226003,1,<$30000
250214412031,1,$60000 - $99999
250214421012,1,$60000 - $99999
250214431022,1,$60000 - $99999
250214562002,1,$60000 - $99999
250214563011,1,<$30000
250214563024,1,<$30000
250214572002,1,>$200000
250214572003,1,>$200000
250235011023,2,>$200000
250235031025,1,$100000 - $124999
250235041013,1,>$200000
250235051013,1,>$200000
250235051023,1,>$200000
250235062041,1,$60000 - $99999
250235071011,1,>$200000
250235071031,1,$150000 - $199999
250235081013,1,$30000 - $44999
250235081022,1,$60000 - $99999
250235082003,1,$60000 - $99999
250235091011,1,$150000 - $199999
250235101003,1,$100000 - $124999
250235104004,1,<$30000
250235105011,1,$60000 - $99999
250235105012,1,$60000 - $99999
250235111003,1,$60000 - $99999
250235112002,1,$60000 - $99999
250235116006,1,$60000 - $99999
250235201001,1,$60000 - $99999
250235201003,1,$100000 - $124999
250235202013,1,$100000 - $124999
250235202022,1,$60000 - $99999
250235202023,1,$100000 - $124999
250235211021,1,$60000 - $99999
250235221011,1,$150000 - $199999
250235221021,1,$150000 - $199999
250235221022,1,>$200000
250235231001,1,$60000 - $99999
250235232013,1,$150000 - $199999
250235232022,1,$30000 - $44999
250235261001,1,$60000 - $99999
250235261004,1,<$30000
250235306003,1,$150000 - $199999
250235308012,1,$60000 - $99999
250235454004,1,$100000 - $124999
250250001001,2,<$30000
250250001002,2,$60000 - $99999
250250001003,1,$150000 - $199999
250250002022,1,$60000 - $99999
250250003012,2,$150000 - $199999
250250003014,1,<$30000
250250003021,2,$100000 - $124999
250250004011,3,$100000 - $124999
250250004023,2,$60000 - $99999
250250005021,1,$60000 - $99999
250250005023,2,<$30000
250250005032,1,$60000 - $99999
250250005042,2,<$30000
250250006011,1,$125000 - $149999
250250006014,1,$45000 - $59999
250250006021,1,<$30000
250250007014,1,$60000 - $99999
250250007015,1,<$30000
250250008024,2,<$30000
250250008025,1,<$30000
250250101043,1,<$30000
250250102031,1,<$30000
250250102042,2,<$30000
250250104031,1,<$30000
250250104032,1,<$30000
250250104041,1,<$30000
250250104042,1,<$30000
250250104081,2,$60000 - $99999
250250105003,1,<$30000
250250106002,1,<$30000
250250108012,1,>$200000
250250108021,1,>$200000
250250108022,1,>$200000
250250201014,1,>$200000
250250202002,2,$60000 - $99999
250250202003,3,$60000 - $99999
250250203011,1,<$30000
250250203021,1,$60000 - $99999
250250203032,1,>$200000
250250301002,2,$150000 - $199999
250250303001,1,>$200000
250250303003,1,$100000 - $124999
250250303004,1,>$200000
250250401002,2,$150000 - $199999
250250403003,1,>$200000
250250403005,1,$60000 - $99999
250250406001,4,$125000 - $149999
250250408011,1,<$30000
250250501011,3,$60000 - $99999
250250501012,1,<$30000
250250502001,1,<$30000
250250502002,1,<$30000
250250502003,1,$45000 - $59999
250250503001,2,<$30000
250250504002,1,<$30000
250250506002,1,$100000 - $124999
250250507003,1,<$30000
250250510001,1,<$30000
250250512001,1,$150000 - $199999
250250512002,2,<$30000
250250512003,1,$60000 - $99999
250250601013,2,$60000 - $99999
250250604001,1,$60000 - $99999
250250605011,1,$150000 - $199999
250250605012,1,$60000 - $99999
250250605013,1,$60000 - $99999
250250606001,3,>$200000
250250608004,1,$125000 - $149999
250250611012,1,<$30000
250250612002,1,<$30000
250250701018,1,>$200000
250250702001,1,<$30000
250250705003,1,<$30000
250250709002,1,<$30000
250250712011,1,>$200000
250250801001,1,<$30000
250250804012,1,<$30000
250250808011,1,<$30000
250250809002,1,$60000 - $99999
250250810011,1,<$30000
250250810013,1,$60000 - $99999
250250811002,1,<$30000
250250811003,1,$60000 - $99999
250250813002,2,<$30000
250250817003,1,$60000 - $99999
250250817005,1,$60000 - $99999
250250818003,1,<$30000
250250819003,1,<$30000
250250820001,1,<$30000
250250820003,1,<$30000
250250821002,1,<$30000
250250902003,1,<$30000
250250904002,1,<$30000
250250906001,1,<$30000
250250907001,1,<$30000
250250909012,1,<$30000
250250910014,2,$60000 - $99999
250250911003,1,$60000 - $99999
250250914002,1,$60000 - $99999
250250916001,1,$60000 - $99999
250250917001,1,<$30000
250250918001,1,<$30000
250250919002,1,<$30000
250250921015,1,<$30000
250250922002,1,$100000 - $124999
250250922004,1,<$30000
250251001002,1,$30000 - $44999
250251001004,1,$45000 - $59999
250251001007,1,<$30000
250251002002,1,<$30000
250251002003,1,<$30000
250251003003,2,$60000 - $99999
250251003004,1,<$30000
250251006013,1,$60000 - $99999
250251006031,1,$60000 - $99999
250251007004,1,$60000 - $99999
250251008006,2,$60000 - $99999
250251010011,1,$60000 - $99999
250251010012,1,$30000 - $44999
250251010022,1,<$30000
250251011022,1,<$30000
250251101032,1,<$30000
250251103012,1,$60000 - $99999
250251104012,1,<$30000
250251105021,1,$60000 - $99999
250251201042,1,<$30000
250251202012,1,<$30000
250251203013,2,$60000 - $99999
250251203014,1,$60000 - $99999
250251204003,1,$60000 - $99999
250251206002,1,$60000 - $99999
250251301002,1,$60000 - $99999
250251302002,1,<$30000
250251303004,1,$60000 - $99999
250251304023,2,$60000 - $99999
250251304025,1,>$200000
250251304062,1,<$30000
250251401051,1,$60000 - $99999
250251401071,2,$60000 - $99999
250251402022,1,<$30000
250251403006,1,$60000 - $99999
250251404005,1,$100000 - $124999
250251404007,1,$100000 - $124999
250251601012,1,<$30000
250251601014,2,<$30000
250251603001,1,<$30000
250251605021,1,$60000 - $99999
250251605022,1,<$30000
250251606012,2,$60000 - $99999
250251701001,1,<$30000
250251701002,1,$60000 - $99999
250251701006,2,$60000 - $99999
250251701007,1,<$30000
250251702002,1,<$30000
250251702004,1,<$30000
250251703001,1,$60000 - $99999
250251703002,2,$45000 - $59999
250251703004,1,$60000 - $99999
250251703005,1,$60000 - $99999
250251704001,1,<$30000
250251704004,1,<$30000
250251705011,1,<$30000
250251706011,1,$60000 - $99999
250251706012,2,$60000 - $99999
250251707022,1,<$30000
250251708001,1,$60000 - $99999
250251708002,1,<$30000
250251708003,1,$30000 - $44999
250251801011,1,$45000 - $59999
250251801013,2,<$30000
250251802002,1,<$30000
250251803011,1,$60000 - $99999
250251805001,1,$60000 - $99999
250259807001,1,$60000 - $99999
250259813002,2,$60000 - $99999
